"","Receptor","SV40","CRE","df","dupRows"
"139",5,0.75,25,"pValue",TRUE
"7",5,0.75,25,"signalToNoise",TRUE
"142",5,0.75,30,"pValue",TRUE
"8",5,0.75,30,"signalToNoise",TRUE
"73",5,0.75,30,"lucDataTMA100",TRUE
"81",5,0.75,30,"lucSignalToNoise",TRUE
"145",5,0.75,35,"pValue",TRUE
"138",5,0.75,35,"lucDataTMA100",TRUE
"74",5,0.75,35,"lucDataTMA100",TRUE
"163",5,1.5,20,"pValue",TRUE
"15",5,1.5,20,"signalToNoise",TRUE
"151",5,1.5,20,"lucSignalToNoise",TRUE
"17",5,1.5,30,"signalToNoise",TRUE
"147",5,1.5,30,"lucDataTMA100",TRUE
"83",5,1.5,30,"lucDataTMA100",TRUE
"34",10,1.25,20,"pValue",TRUE
"30",10,1.25,20,"signalToNoise",TRUE
"58",10,1.5,35,"pValue",TRUE
"38",10,1.5,35,"signalToNoise",TRUE
"85",15,0.75,30,"pValue",TRUE
"47",15,0.75,30,"signalToNoise",TRUE
